code,bezeichnung
112,Rückbau
201,Baugrubenaushub
211,Baumeisterarbeiten
214.3,Holzelementbau
214.4,"Äussere Bekleidungen, Gesimse, Treppen"
215.5,Äussere Bekleidungen
221.1,Fenster aus Holz-Metall
221.6,"Aussentüren, Tore aus Metall"
221.9,Garagentore
222,Spenglerarbeiten
224.0,Deckungen geneigte Dächer
224.1,Dichtungsbeläge Flachdächer
225.1,Fugendichtungen
225.2,Spezielle Dämmungen
225.3,Spezielle Feuchtigkeitsabdichtungen
225.4,Brandschutzbekleidungen und dgl.
227.1,Äussere Malerarbeiten
228.3,Markisen
230,Elektroanlagen
235.8,Sicherheitsanlagen
239,Photovoltaik- und Solaranlagen
242,Heizungsanlagen
244,Lufttechnische Anlagen
250,Sanitäranlagen
258,Kücheneinrichtungen
261,Aufzüge
271,Gipserarbeiten
272.2,Allgemeine Metallbauarbeiten
273.0,Innentüren
273.3,Allgemeine Schreinerarbeiten
275,Schliessanlagen
278,"Beschriftungen, Markierungen, Signaletik"
281.0,Unterlagsböden
281.1,Fugenlose Bodenbeläge
281.2,"Bodenbeläge aus Kunststoffen, Textilien etc."
281.6,Bodenbeläge Plattenarbeiten
281.7,Bodenbeläge aus Holz
285.1,Innere Malerarbeiten
286,Bautrocknung
287,Baureinigung
421,Gärtnerarbeiten
