bkp_code,bkp_bezeichnung,unt_id,firma,adresse,plz_ort,telefon,email
112,Rückbau,25028,Albert Bucher AG,Brünigstrasse 48,6056 Kägiswil,+41 (41) 660 56 00,info@albertbucher-ag.ch
112,Rückbau,25472,Anliker AG Bauunternehmung Erneuerungsbau,Reusseggstrasse 2,6002 Luzern,+41 (41) 429 34 34,bauunternehmung@anliker.ch
112,Rückbau,11305,M+B Bau AG Schweiz,Gorgenstrasse 2,6074 Giswil,+41 (41) 666 30 00,info@mb-bauag.ch
112,Rückbau,12333,Buchertiefbau GmbH,Industriestrasse 10,6064 Kerns,+41 (41) 660 36 25,info@buchertiefbau.ch
112,Rückbau,12395,Bürgi AG,Grüneckweg 3,6055 Alpnach Dorf,+41 (41) 672 71 11,info@buergibau.ch
112,Rückbau,13759,Eberli Bau AG,Feldstrasse 2,6060 Sarnen 2,+41 (41) 666 38 48,info@eberli-ag.ch
112,Rückbau,15147,Gasser Felstechnik AG,Walchistrasse 30,6078 Lungern,+41 (41) 679 77 77,gasser@felstechnik.ch
112,Rückbau,25022,Grunder Tiefbau GmbH,Flüelistrasse 59b,6064 Kerns,,
112,Rückbau,17749,Höhener Tiefbau AG,Industrie Nord 21,5643 Sins,+41 (41) 787 17 87,info@hoehenertiefbau.ch
112,Rückbau,25023,Josef Berwert AG,Wilerstrasse 44,6062 Wilen (Sarnen),+41 (41) 660 27 35,info@berwertbau.ch
112,Rückbau,17640,KIBAG Bauleistungen AG,Rotzloch,6362 Stansstad,+41 (41) 618 22 00,
112,Rückbau,18382,Lötscher Tiefbau AG,Spahau 3,6014 Luzern,+41 (41) 259 07 07,loetscher-plus@ltp.ch
112,Rückbau,25024,Markus Enz AG,Schlossmattli 10,6074 Giswil,+41 (41) 879 80 00,info@enz-ag.ch
112,Rückbau,25025,Melk Durrer AG,Kanalstrasse 20,6056 Kägiswil,+41 (41) 660 56 58,mario.durrer@melkdurrer.ch
112,Rückbau,21328,Schleiss AG,Alpenstrasse 1,6370 Stans,+41 (41) 610 35 50,info@schleiss.ch
112,Rückbau,21361,Schmid Bauunternehmung AG,Neuhaltenring 1,6030 Ebikon,+41 (41) 444 40 33,bau@schmid.lu
112,Rückbau,25026,Stephan Thalmann AG,Dörli 9,6060 Ramersberg,+41 (41) 660 43 68,mail@thalmann-bau.ch
112,Rückbau,25027,von Deschwanden Bau GmbH,Stanserstrasse 101,6064 Kerns,+41 (41) 660 29 48,vondeschwandenbau@bluewin.ch
112,Rückbau,25097,Zimmermann Tiefbau AG,Faden 3,6374 Buochs,+41 (41) 624 91 96,tiefbau@zimgroup.ch
201,Baugrubenaushub,25028,Albert Bucher AG,Brünigstrasse 48,6056 Kägiswil,+41 (41) 660 56 00,info@albertbucher-ag.ch
201,Baugrubenaushub,10745,Anliker Bauunternehmung AG,Meierhöflistrasse 18,6021 Emmenbrücke 1,+41 (41) 268 88 88,bauunternehmung@anliker.ch
201,Baugrubenaushub,11305,M+B Bau AG Schweiz,Gorgenstrasse 2,6074 Giswil,+41 (41) 666 30 00,info@mb-bauag.ch
201,Baugrubenaushub,12333,Buchertiefbau GmbH,Industriestrasse 10,6064 Kerns,+41 (41) 660 36 25,info@buchertiefbau.ch
201,Baugrubenaushub,12395,Bürgi AG,Grüneckweg 3,6055 Alpnach Dorf,+41 (41) 672 71 11,info@buergibau.ch
201,Baugrubenaushub,13759,Eberli Bau AG,Feldstrasse 2,6060 Sarnen 2,+41 (41) 666 38 48,info@eberli-ag.ch
201,Baugrubenaushub,15147,Gasser Felstechnik AG,Walchistrasse 30,6078 Lungern,+41 (41) 679 77 77,gasser@felstechnik.ch
