firma,adresse,plz_ort,telefon,email,bkp_codes
Albert Bucher AG,Brünigstrasse 48,6056 Kägiswil,+41 (41) 660 56 00,info@albertbucher-ag.ch,112 Rückbau; 201 Baugrubenaushub
Anliker AG Bauunternehmung Erneuerungsbau,Reusseggstrasse 2,6002 Luzern,+41 (41) 429 34 34,bauunternehmung@anliker.ch,112 Rückbau
M+B Bau AG Schweiz,Gorgenstrasse 2,6074 Giswil,+41 (41) 666 30 00,info@mb-bauag.ch,112 Rückbau; 201 Baugrubenaushub; 211 Baumeisterarbeiten
Buchertiefbau GmbH,Industriestrasse 10,6064 Kerns,+41 (41) 660 36 25,info@buchertiefbau.ch,112 Rückbau; 201 Baugrubenaushub
Bürgi AG,Grüneckweg 3,6055 Alpnach Dorf,+41 (41) 672 71 11,info@buergibau.ch,112 Rückbau; 201 Baugrubenaushub; 211 Baumeisterarbeiten
Eberli Bau AG,Feldstrasse 2,6060 Sarnen 2,+41 (41) 666 38 48,info@eberli-ag.ch,112 Rückbau; 201 Baugrubenaushub; 211 Baumeisterarbeiten
Gasser Felstechnik AG,Walchistrasse 30,6078 Lungern,+41 (41) 679 77 77,gasser@felstechnik.ch,112 Rückbau; 201 Baugrubenaushub; 211 Baumeisterarbeiten
Grunder Tiefbau GmbH,Flüelistrasse 59b,6064 Kerns,,,112 Rückbau; 201 Baugrubenaushub
Höhener Tiefbau AG,Industrie Nord 21,5643 Sins,+41 (41) 787 17 87,info@hoehenertiefbau.ch,112 Rückbau; 201 Baugrubenaushub
Josef Berwert AG,Wilerstrasse 44,6062 Wilen (Sarnen),+41 (41) 660 27 35,info@berwertbau.ch,112 Rückbau; 201 Baugrubenaushub; 211 Baumeisterarbeiten
KIBAG Bauleistungen AG,Rotzloch,6362 Stansstad,+41 (41) 618 22 00,,112 Rückbau
Lötscher Tiefbau AG,Spahau 3,6014 Luzern,+41 (41) 259 07 07,loetscher-plus@ltp.ch,112 Rückbau; 201 Baugrubenaushub
Markus Enz AG,Schlossmattli 10,6074 Giswil,+41 (41) 879 80 00,info@enz-ag.ch,112 Rückbau; 201 Baugrubenaushub
Melk Durrer AG,Kanalstrasse 20,6056 Kägiswil,+41 (41) 660 56 58,mario.durrer@melkdurrer.ch,112 Rückbau; 201 Baugrubenaushub; 211 Baumeisterarbeiten
Schleiss AG,Alpenstrasse 1,6370 Stans,+41 (41) 610 35 50,info@schleiss.ch,112 Rückbau; 201 Baugrubenaushub
Schmid Bauunternehmung AG,Neuhaltenring 1,6030 Ebikon,+41 (41) 444 40 33,bau@schmid.lu,112 Rückbau; 201 Baugrubenaushub; 211 Baumeisterarbeiten; 215.5 Äussere Bekleidungen
Stephan Thalmann AG,Dörli 9,6060 Ramersberg,+41 (41) 660 43 68,mail@thalmann-bau.ch,112 Rückbau; 201 Baugrubenaushub
von Deschwanden Bau GmbH,Stanserstrasse 101,6064 Kerns,+41 (41) 660 29 48,vondeschwandenbau@bluewin.ch,112 Rückbau; 201 Baugrubenaushub
Zimmermann Tiefbau AG,Faden 3,6374 Buochs,+41 (41) 624 91 96,tiefbau@zimgroup.ch,112 Rückbau; 201 Baugrubenaushub
Anliker Bauunternehmung AG,Meierhöflistrasse 18,6021 Emmenbrücke 1,+41 (41) 268 88 88,bauunternehmung@anliker.ch,201 Baugrubenaushub; 211 Baumeisterarbeiten
KIBAG Bauleistungen AG,Sihlbruggstrasse 20,6345 Neuheim,+41 (58) 387 21 80,info.kzi@kibag.ch,201 Baugrubenaushub
Peter Schmid Baudienstleistungen AG,Lindenmoosstrasse 9,8910 Affoltern am Albis,+41 (43) 333 44 77,dispo@bau-dienstleistungen.ch,201 Baugrubenaushub
PK Bau AG,Hirserenriedstrasse 38,6074 Giswil,+41 (41) 675 18 18,mail@pkbau.ch,201 Baugrubenaushub
Poli Bau AG,Hasliweg 1,6052 Hergiswil,+41 (41) 632 40 20,info@polibau.ch,211 Baumeisterarbeiten; 225.2 Spezielle Dämmungen; 271 Gipserarbeiten
Amstutz Holzbau AG,Galgenried 14,6370 Stans,+41 (41) 619 40 40,info@holzbau-amstutz.ch,"214.3 Holzelementbau; 214.4 Äussere Bekleidungen, Gesimse, Treppen"
Haupt AG,Rosswöschstrasse 28,6017 Ruswil,+41 (41) 496 77 77,info@haupt-ag.ch,"214.3 Holzelementbau; 214.4 Äussere Bekleidungen, Gesimse, Treppen"
Hecht Holzbau AG,Rigistrasse 11a,6210 Sursee,+41 (41) 925 18 40,info@hecht-holzbau.ch,"214.3 Holzelementbau; 214.4 Äussere Bekleidungen, Gesimse, Treppen"
Holzbau Bucher AG,Untergasse 11,6064 Kerns,+41 (41) 666 07 07,info@holzbau-bucher.ch,"214.3 Holzelementbau; 214.4 Äussere Bekleidungen, Gesimse, Treppen; 221.1 Fenster aus Holz-Metall; 273.0 Innentüren; 273.3 Allgemeine Schreinerarbeiten"
Holzbautechnik Burch AG,Brünigstrasse 88,6060 Sarnen,+41 (41) 666 76 86,burch@holzbautechnik.ch,"214.3 Holzelementbau; 214.4 Äussere Bekleidungen, Gesimse, Treppen; 225.2 Spezielle Dämmungen; 273.3 Allgemeine Schreinerarbeiten"
